time,hours_since_previous,mag,mag_previous
2015-03-26 23:00:00,1,2.32,2.56
2015-03-27 07:00:00,8,3.35,2.32
2015-03-27 09:00:00,2,2.04,3.35
2015-03-27 13:00:00,4,4.11,2.04
2015-03-27 15:00:00,2,3.67,4.11
2015-03-27 16:00:00,1,2.5,3.67
2015-03-28 01:00:00,9,2.39,2.5
2015-03-28 05:00:00,4,2.38,2.39
2015-03-28 11:00:00,6,2.21,2.38
2015-03-28 14:00:00,3,2.12,2.21
2015-03-28 16:00:00,2,2.4,2.12
2015-03-28 19:00:00,3,2.29,2.4
2015-03-29 02:00:00,7,2.05,2.29
2015-03-29 09:00:00,7,2.8,2.05
2015-03-29 13:00:00,4,2.86,2.8
2015-03-30 00:00:00,11,2.25,2.86
2015-03-30 09:00:00,9,4.04,2.25
2015-03-30 11:00:00,2,2.84,4.04
2015-03-30 12:00:00,1,2.18,2.84
2015-03-30 14:00:00,2,2.37,2.18
2015-03-30 16:00:00,2,2.01,2.37
2015-03-30 18:00:00,2,2.3,2.01
2015-03-30 19:00:00,1,2.79,2.3
2015-03-31 00:00:00,5,2.29,2.79
2015-03-31 06:00:00,6,2.72,2.29
2015-03-31 12:00:00,6,2.01,2.72
2015-03-31 13:00:00,1,2.28,2.01
2015-04-01 04:00:00,15,2.0,2.28
2015-04-01 06:00:00,2,2.38,2.0
2015-04-01 08:00:00,2,2.07,2.38
2015-04-01 14:00:00,6,2.67,2.07
2015-04-02 00:00:00,10,2.37,2.67
2015-04-02 06:00:00,6,2.62,2.37
2015-04-02 07:00:00,1,3.61,2.62
2015-04-02 10:00:00,3,2.14,3.61
2015-04-02 12:00:00,2,2.93,2.14
2015-04-02 14:00:00,2,2.54,2.93
2015-04-02 17:00:00,3,2.04,2.54
2015-04-03 07:00:00,14,2.25,2.04
2015-04-03 22:00:00,15,2.15,2.25
2015-04-03 23:00:00,1,2.24,2.15
2015-04-04 07:00:00,8,2.08,2.24
2015-04-04 14:00:00,7,3.13,2.08
2015-04-04 17:00:00,3,2.09,3.13
2015-04-04 20:00:00,3,2.13,2.09
2015-04-05 12:00:00,16,2.44,2.13
2015-04-05 18:00:00,6,2.38,2.44
2015-04-05 21:00:00,3,2.2,2.38
2015-04-05 23:00:00,2,2.03,2.2
2015-04-06 02:00:00,3,2.07,2.03
2015-04-06 04:00:00,2,2.13,2.07
2015-04-06 11:00:00,7,2.32,2.13
2015-04-06 13:00:00,2,2.08,2.32
2015-04-06 17:00:00,4,2.02,2.08
2015-04-06 22:00:00,5,2.32,2.02
2015-04-07 04:00:00,6,2.33,2.32
2015-04-07 06:00:00,2,2.23,2.33
2015-04-07 07:00:00,1,2.06,2.23
2015-04-07 08:00:00,1,2.01,2.06
2015-04-07 13:00:00,5,2.57,2.01
2015-04-07 14:00:00,1,2.05,2.57
2015-04-07 15:00:00,1,2.01,2.05
2015-04-07 18:00:00,3,2.34,2.01
2015-04-07 19:00:00,1,2.35,2.34
2015-04-07 22:00:00,3,2.13,2.35
2015-04-08 06:00:00,8,2.56,2.13
2015-04-08 08:00:00,2,3.06,2.56
2015-04-08 09:00:00,1,2.48,3.06
2015-04-08 10:00:00,1,2.35,2.48
2015-04-08 19:00:00,9,2.08,2.35
2015-04-08 20:00:00,1,2.14,2.08
2015-04-09 01:00:00,5,2.66,2.14
2015-04-09 08:00:00,7,2.55,2.66
2015-04-09 10:00:00,2,2.47,2.55
2015-04-09 13:00:00,3,2.44,2.47
2015-04-09 15:00:00,2,2.24,2.44
2015-04-09 16:00:00,1,2.3,2.24
2015-04-09 19:00:00,3,2.48,2.3
2015-04-10 03:00:00,8,2.26,2.48
2015-04-10 04:00:00,1,2.24,2.26
2015-04-10 08:00:00,4,2.53,2.24
2015-04-10 17:00:00,9,2.85,2.53
2015-04-10 18:00:00,1,4.7,2.85
2015-04-10 20:00:00,2,2.1,4.7
2015-04-10 21:00:00,1,2.05,2.1
2015-04-11 04:00:00,7,2.77,2.05
2015-04-11 09:00:00,5,2.42,2.77
2015-04-11 10:00:00,1,2.53,2.42
2015-04-11 17:00:00,7,2.76,2.53
2015-04-12 08:00:00,15,2.1,2.76
2015-04-12 09:00:00,1,2.58,2.1
2015-04-12 10:00:00,1,2.91,2.58
2015-04-12 11:00:00,1,2.07,2.91
2015-04-12 13:00:00,2,2.08,2.07
2015-04-12 20:00:00,7,2.32,2.08
2015-04-12 21:00:00,1,2.59,2.32
2015-04-12 23:00:00,2,2.65,2.59
2015-04-13 01:00:00,2,2.34,2.65
2015-04-13 04:00:00,3,3.32,2.34
2015-04-13 06:00:00,2,2.68,3.32
2015-04-13 12:00:00,6,2.23,2.68
2015-04-13 16:00:00,4,2.04,2.23
2015-04-14 07:00:00,15,2.01,2.04
2015-04-14 13:00:00,6,2.26,2.01
2015-04-14 16:00:00,3,2.44,2.26
2015-04-14 18:00:00,2,2.67,2.44
2015-04-15 07:00:00,13,2.59,2.67
